protocol_type,service,flag,src_bytes,dst_bytes,land,wrong_fragment,urgent,time_since_last,packet_rate,burst_count,unique_ports,port_entropy,ip_entropy,tcp_syn_count,tcp_ack_count,flow_duration,flow_packets,flow_bytes,avg_packet_size,label
6,0,0,1280,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1280,1280,attack
6,0,0,960,0,0,0,0,0,0,0,0,0,0,0,0,0,1,960,960,attack
17,0,0,512,0,0,0,0,0,0,0,0,0,0,0,0,0,1,512,512,normal
6,0,0,768,0,0,0,0,0,0,0,0,0,0,0,0,0,1,768,768,attack
1,0,0,128,0,0,0,0,0,0,0,0,0,0,0,0,0,1,128,128,normal
6,0,0,1024,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1024,1024,attack
17,0,0,256,0,0,0,0,0,0,0,0,0,0,0,0,0,1,256,256,normal
6,0,0,1536,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1536,1536,attack
6,0,0,2048,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2048,2048,attack
1,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,1,64,64,attack
17,0,0,198,0,0,0,0,0,0,0,0,0,0,0,0,0,1,198,198,attack
17,0,0,265,0,0,0,0,0,0,0,0,0,0,0,0,0,1,265,265,attack
17,0,0,254,0,0,0,0,0,0,0,0,0,0,0,0,0,1,254,254,attack
17,0,0,257,0,0,0,0,0,0,0,0,0,0,0,0,0,1,257,257,attack
17,0,0,201,0,0,0,0,0,0,0,0,0,0,0,0,0,1,201,201,attack
17,0,0,253,0,0,0,0,0,0,0,0,0,0,0,0,0,1,253,253,attack
17,0,0,202,0,0,0,0,0,0,0,0,0,0,0,0,0,1,202,202,attack
17,0,0,245,0,0,0,0,0,0,0,0,0,0,0,0,0,1,245,245,attack
6,0,0,391,0,0,0,0,0,0,0,0,0,0,0,0,0,1,391,391,attack
6,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,1,85,85,attack
17,0,0,201,0,0,0,0,0,0,0,0,0,0,0,0,0,1,201,201,attack
17,0,0,257,0,0,0,0,0,0,0,0,0,0,0,0,0,1,257,257,attack
17,0,0,198,0,0,0,0,0,0,0,0,0,0,0,0,0,1,198,198,attack
17,0,0,258,0,0,0,0,0,0,0,0,0,0,0,0,0,1,258,258,attack
17,0,0,203,0,0,0,0,0,0,0,0,0,0,0,0,0,1,203,203,attack
17,0,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,1,94,94,attack
17,0,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,1,94,94,attack
17,0,0,261,0,0,0,0,0,0,0,0,0,0,0,0,0,1,261,261,attack
6,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,1,60,60,attack
6,0,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,1,89,89,attack
17,0,0,199,0,0,0,0,0,0,0,0,0,0,0,0,0,1,199,199,attack
6,0,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,1,89,89,attack
6,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,1,54,54,attack
17,0,0,260,0,0,0,0,0,0,0,0,0,0,0,0,0,1,260,260,attack
17,0,0,202,0,0,0,0,0,0,0,0,0,0,0,0,0,1,202,202,attack
17,0,0,262,0,0,0,0,0,0,0,0,0,0,0,0,0,1,262,262,attack
17,0,0,201,0,0,0,0,0,0,0,0,0,0,0,0,0,1,201,201,attack
6,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,1,60,60,attack
17,0,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,1,94,94,attack
17,0,0,260,0,0,0,0,0,0,0,0,0,0,0,0,0,1,260,260,attack
17,0,0,204,0,0,0,0,0,0,0,0,0,0,0,0,0,1,204,204,attack
17,0,0,243,0,0,0,0,0,0,0,0,0,0,0,0,0,1,243,243,attack
17,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,1,200,200,attack
6,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,1,55,55,attack
6,0,0,135,0,0,0,0,0,0,0,0,0,0,0,0,0,1,135,135,attack
17,0,0,246,0,0,0,0,0,0,0,0,0,0,0,0,0,1,246,246,attack
17,0,0,202,0,0,0,0,0,0,0,0,0,0,0,0,0,1,202,202,attack
17,0,0,227,0,0,0,0,0,0,0,0,0,0,0,0,0,1,227,227,attack
17,0,0,204,0,0,0,0,0,0,0,0,0,0,0,0,0,1,204,204,attack
17,0,0,164,0,0,0,0,0,0,0,0,0,0,0,0,0,1,164,164,attack
6,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,1,54,54,attack
17,0,0,203,0,0,0,0,0,0,0,0,0,0,0,0,0,1,203,203,attack
6,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,1,66,66,attack
17,0,0,204,0,0,0,0,0,0,0,0,0,0,0,0,0,1,204,204,attack
17,0,0,199,0,0,0,0,0,0,0,0,0,0,0,0,0,1,199,199,attack
17,0,0,262,0,0,0,0,0,0,0,0,0,0,0,0,0,1,262,262,attack
17,0,0,202,0,0,0,0,0,0,0,0,0,0,0,0,0,1,202,202,attack
17,0,0,262,0,0,0,0,0,0,0,0,0,0,0,0,0,1,262,262,attack
17,0,0,197,0,0,0,0,0,0,0,0,0,0,0,0,0,1,197,197,attack
17,0,0,199,0,0,0,0,0,0,0,0,0,0,0,0,0,1,199,199,attack
17,0,0,203,0,0,0,0,0,0,0,0,0,0,0,0,0,1,203,203,attack
17,0,0,197,0,0,0,0,0,0,0,0,0,0,0,0,0,1,197,197,attack
17,0,0,198,0,0,0,0,0,0,0,0,0,0,0,0,0,1,198,198,attack
17,0,0,201,0,0,0,0,0,0,0,0,0,0,0,0,0,1,201,201,attack
17,0,0,198,0,0,0,0,0,0,0,0,0,0,0,0,0,1,198,198,attack
17,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,1,200,200,attack
6,0,0,102,0,0,0,0,0,0,0,0,0,0,0,0,0,1,102,102,attack
6,0,0,391,0,0,0,0,0,0,0,0,0,0,0,0,0,1,391,391,attack
6,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,1,85,85,attack
17,0,0,203,0,0,0,0,0,0,0,0,0,0,0,0,0,1,203,203,attack
17,0,0,203,0,0,0,0,0,0,0,0,0,0,0,0,0,1,203,203,attack
6,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,1,54,54,attack
17,0,0,199,0,0,0,0,0,0,0,0,0,0,0,0,0,1,199,199,attack
17,0,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,1,94,94,attack
17,0,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,1,94,94,attack
17,0,0,1292,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1292,1292,attack
17,0,0,124,0,0,0,0,0,0,0,0,0,0,0,0,0,1,124,124,attack
17,0,0,1292,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1292,1292,attack
17,0,0,688,0,0,0,0,0,0,0,0,0,0,0,0,0,1,688,688,attack
6,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,1,60,60,attack
6,0,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,1,89,89,attack
6,0,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,1,89,89,attack
6,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,1,54,54,attack
17,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,1,200,200,attack
17,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,1,200,200,attack
6,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,1,60,60,attack
17,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,1,200,200,attack
17,0,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,1,94,94,attack
17,0,0,199,0,0,0,0,0,0,0,0,0,0,0,0,0,1,199,199,attack
17,0,0,1242,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1242,1242,attack
17,0,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,1,94,94,attack
17,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,1,66,66,attack
17,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,1,66,66,attack
